Date,DayOfWeek,IsWeekend,Zone_Type,Bin_ID,Waste_Weight_Kg
2025-01-01,2,0,1,bin_van_phong_01,11566.4
2025-01-01,2,0,1,bin_van_phong_02,13371.9
2025-01-01,2,0,0,bin_dan_cu_01,5863.8
2025-01-01,2,0,0,bin_dan_cu_02,4540.4
2025-01-02,3,0,1,bin_van_phong_01,11471.1
2025-01-02,3,0,1,bin_van_phong_02,12256.8
2025-01-02,3,0,0,bin_dan_cu_01,5729.2
2025-01-02,3,0,0,bin_dan_cu_02,5472.6
2025-01-03,4,0,1,bin_van_phong_01,11147.0
2025-01-03,4,0,1,bin_van_phong_02,10236.6
2025-01-03,4,0,0,bin_dan_cu_01,5212.2
2025-01-03,4,0,0,bin_dan_cu_02,3443.3
2025-01-04,5,1,1,bin_van_phong_01,691.5
2025-01-04,5,1,1,bin_van_phong_02,3911.6
2025-01-04,5,1,0,bin_dan_cu_01,11802.6
2025-01-04,5,1,0,bin_dan_cu_02,14973.6
2025-01-05,6,1,1,bin_van_phong_01,1026.1
2025-01-05,6,1,1,bin_van_phong_02,2929.7
2025-01-05,6,1,0,bin_dan_cu_01,13131.4
2025-01-05,6,1,0,bin_dan_cu_02,13156.5
2025-01-06,0,0,1,bin_van_phong_01,11895.9
2025-01-06,0,0,1,bin_van_phong_02,11714.2
2025-01-06,0,0,0,bin_dan_cu_01,3889.2
2025-01-06,0,0,0,bin_dan_cu_02,4106.1
2025-01-07,1,0,1,bin_van_phong_01,11291.5
2025-01-07,1,0,1,bin_van_phong_02,15000.0
2025-01-07,1,0,0,bin_dan_cu_01,6379.8
2025-01-07,1,0,0,bin_dan_cu_02,3612.8
2025-01-08,2,0,1,bin_van_phong_01,10487.3
2025-01-08,2,0,1,bin_van_phong_02,11768.6
2025-01-08,2,0,0,bin_dan_cu_01,7603.4
2025-01-08,2,0,0,bin_dan_cu_02,6509.1
2025-01-09,3,0,1,bin_van_phong_01,12674.7
2025-01-09,3,0,1,bin_van_phong_02,12124.0
2025-01-09,3,0,0,bin_dan_cu_01,5129.1
2025-01-09,3,0,0,bin_dan_cu_02,4529.7
2025-01-10,4,0,1,bin_van_phong_01,12255.0
2025-01-10,4,0,1,bin_van_phong_02,12629.4
2025-01-10,4,0,0,bin_dan_cu_01,5964.8
2025-01-10,4,0,0,bin_dan_cu_02,6421.0
2025-01-11,5,1,1,bin_van_phong_01,4457.6
2025-01-11,5,1,1,bin_van_phong_02,3875.3
2025-01-11,5,1,0,bin_dan_cu_01,13934.7
2025-01-11,5,1,0,bin_dan_cu_02,13460.8
2025-01-12,6,1,1,bin_van_phong_01,3838.6
2025-01-12,6,1,1,bin_van_phong_02,3944.7
2025-01-12,6,1,0,bin_dan_cu_01,13929.3
2025-01-12,6,1,0,bin_dan_cu_02,13762.5
2025-01-13,0,0,1,bin_van_phong_01,13762.4
2025-01-13,0,0,1,bin_van_phong_02,12693.6
2025-01-13,0,0,0,bin_dan_cu_01,4909.0
2025-01-13,0,0,0,bin_dan_cu_02,7146.9
2025-01-14,1,0,1,bin_van_phong_01,10803.4
2025-01-14,1,0,1,bin_van_phong_02,10119.9
