Date,DayOfWeek,IsWeekend,Zone_Type,Bin_ID,Waste_Weight_Kg
2025-01-01,2,0,1,bin_van_phong_01,10808.5
2025-01-01,2,0,1,bin_van_phong_02,10895.3
2025-01-01,2,0,0,bin_dan_cu_01,4767.1
2025-01-01,2,0,0,bin_dan_cu_02,4833.1
2025-01-02,3,0,1,bin_van_phong_01,10617.3
2025-01-02,3,0,1,bin_van_phong_02,9690.0
2025-01-02,3,0,0,bin_dan_cu_01,5947.6
2025-01-02,3,0,0,bin_dan_cu_02,5208.7
2025-01-03,4,0,1,bin_van_phong_01,11848.5
2025-01-03,4,0,1,bin_van_phong_02,11186.2
2025-01-03,4,0,0,bin_dan_cu_01,6040.9
2025-01-03,4,0,0,bin_dan_cu_02,4771.7
2025-01-04,5,1,1,bin_van_phong_01,1584.5
2025-01-04,5,1,1,bin_van_phong_02,1228.4
2025-01-04,5,1,0,bin_dan_cu_01,8489.7
2025-01-04,5,1,0,bin_dan_cu_02,9246.7
2025-01-05,6,1,1,bin_van_phong_01,1496.2
2025-01-05,6,1,1,bin_van_phong_02,1586.9
2025-01-05,6,1,0,bin_dan_cu_01,9608.5
2025-01-05,6,1,0,bin_dan_cu_02,9961.4
2025-01-06,0,0,1,bin_van_phong_01,10675.6
2025-01-06,0,0,1,bin_van_phong_02,9228.1
2025-01-06,0,0,0,bin_dan_cu_01,4991.2
2025-01-06,0,0,0,bin_dan_cu_02,5923.4
2025-01-07,1,0,1,bin_van_phong_01,9447.2
2025-01-07,1,0,1,bin_van_phong_02,11562.5
2025-01-07,1,0,0,bin_dan_cu_01,5738.3
2025-01-07,1,0,0,bin_dan_cu_02,4823.4
2025-01-08,2,0,1,bin_van_phong_01,9182.2
2025-01-08,2,0,1,bin_van_phong_02,10274.8
2025-01-08,2,0,0,bin_dan_cu_01,5055.2
2025-01-08,2,0,0,bin_dan_cu_02,5724.9
2025-01-09,3,0,1,bin_van_phong_01,12001.0
2025-01-09,3,0,1,bin_van_phong_02,9306.4
2025-01-09,3,0,0,bin_dan_cu_01,4825.7
2025-01-09,3,0,0,bin_dan_cu_02,5749.7
2025-01-10,4,0,1,bin_van_phong_01,10748.8
2025-01-10,4,0,1,bin_van_phong_02,10438.3
2025-01-10,4,0,0,bin_dan_cu_01,6052.1
2025-01-10,4,0,0,bin_dan_cu_02,5391.6
2025-01-11,5,1,1,bin_van_phong_01,1354.5
2025-01-11,5,1,1,bin_van_phong_02,1399.6
2025-01-11,5,1,0,bin_dan_cu_01,10451.2
2025-01-11,5,1,0,bin_dan_cu_02,8970.0
2025-01-12,6,1,1,bin_van_phong_01,1421.8
2025-01-12,6,1,1,bin_van_phong_02,1591.6
2025-01-12,6,1,0,bin_dan_cu_01,10813.7
2025-01-12,6,1,0,bin_dan_cu_02,11198.2
2025-01-13,0,0,1,bin_van_phong_01,9172.5
2025-01-13,0,0,1,bin_van_phong_02,10988.8
2025-01-13,0,0,0,bin_dan_cu_01,4775.0
2025-01-13,0,0,0,bin_dan_cu_02,5027.9
2025-01-14,1,0,1,bin_van_phong_01,11727.5
2025-01-14,1,0,1,bin_van_phong_02,9207.7
