Warning: lane position 10.00 for poi 'depot_001' is not valid.
Warning: No connection between edge '709022104#0' and edge '711052546#0' found.
Warning: No connection between edge '-707066366#1' and edge '591296755' found.
Warning: No connection between edge '1257110006#2' and edge '704089866#5' found.
Warning: No connection between edge '856460790' and edge '707066366#5' found.
Warning: No connection between edge '710298224#1' and edge '953279469#0' found.
Warning: No connection between edge '-707066366#11' and edge '704089866#0' found.
Warning: No connection between edge '708581287' and edge '711366277' found.
Warning: No connection between edge '599146728' and edge '711367570#0' found.
Warning: No connection between edge '710203072#1' and edge '857047108#9' found.
Warning: No connection between edge '-708891237#3' and edge '251784279#1' found.
Warning: No connection between edge '37891457#10' and edge '-251780514#0' found.
Warning: No connection between edge '707066366#5' and edge '251784279#1' found.
Warning: No connection between edge '-37972515#7' and edge '-251780514#0' found.
Warning: No connection between edge '1158120935' and edge '954882991' found.
Warning: No connection between edge '945322256#2' and edge '399835468#2' found.
Warning: No connection between edge '136258948#1' and edge '704089866#8' found.
Warning: No connection between edge '37734136#4' and edge '11008124#1' found.
Warning: No connection between edge '708891237#4' and edge '397649390#4' found.
Warning: No connection between edge '-1262812937#7' and edge '399835468#2' found.
Warning: No connection between edge '136161769#1' and edge '251780514#0' found.
Warning: No connection between edge '838425493#8' and edge '1317516878' found.
Warning: No connection between edge '1158120933#0' and edge '1158120934' found.
Warning: No connection between edge '709022104#0' and edge '29046492#7' found.
Warning: No connection between edge '37972515#10' and edge '-251780514#0' found.
Warning: No connection between edge '709017800#0' and edge '953279469#1' found.
Warning: No connection between edge '1317516879#0' and edge '839668470#1' found.
Warning: No connection between edge '-136258948#0' and edge '-1344929479#9' found.
Warning: No connection between edge '-37891457#9' and edge '251780514#2' found.
Warning: No connection between edge '-591354553#2' and edge '-593642481#2' found.
Warning: No connection between edge '-251784279#2' and edge '617351094#0' found.
Warning: No connection between edge '-838425492#10' and edge '397649390#1' found.
Warning: No connection between edge '37734136#3' and edge '-946867352#3' found.
Warning: No connection between edge '1317516879#2' and edge '11711997#9' found.
Warning: No connection between edge '848915392#1' and edge '-11838452#4' found.
Warning: No connection between edge '710203072#4' and edge '-29046492#3' found.
Warning: No connection between edge '1123561349' and edge '703110744' found.
Warning: No connection between edge '1317516879#0' and edge '1262812937#0' found.
Warning: No connection between edge '600037925#1' and edge '704089866#0' found.
Warning: No connection between edge '1395144950#9' and edge '-11838452#4' found.
Warning: No connection between edge '711708478#1' and edge '-37891457#10' found.
Warning: No connection between edge '1215943718#4' and edge '703109534#0' found.
Warning: No connection between edge '707066366#1' and edge '1107122308#0' found.
Warning: No connection between edge '-251784279#0' and edge '838425493#8' found.
Warning: No connection between edge '37734136#2' and edge '1014224393' found.
Warning: No connection between edge '617351094#6' and edge '399835468#2' found.
Warning: No connection between edge '1317516879#0' and edge '709356405#1' found.
Warning: No connection between edge '707450925#2' and edge '35972593#1' found.
Warning: No connection between edge '945322275#4' and edge '251780514#2' found.
Warning: No connection between edge '164155833' and edge '-1216160206' found.
Warning: No connection between edge '-1180597073#7' and edge '596710689#1' found.
Warning: No connection between edge '1317516879#1' and edge '399835468#0' found.
Warning: No connection between edge '710203072#1' and edge '-617351094#6' found.
Warning: No connection between edge '506383095#1' and edge '397649390#3' found.
Warning: No connection between edge '-251784279#1' and edge '709673461#4' found.
Warning: No connection between edge '704089866#1' and edge '1317516877' found.
Warning: No connection between edge '29046492#4' and edge '1242183588#2' found.
Warning: No connection between edge '-37891457#7' and edge '251780514#5' found.
Warning: No connection between edge '-591354553#1' and edge '1395144950#2' found.
Warning: No connection between edge '35972593#4' and edge '616838544' found.
Warning: No connection between edge '-37891457#9' and edge '-251784279#1' found.
Warning: No connection between edge '179993959#4' and edge '601895626#1' found.
Warning: No connection between edge '1317516879#6' and edge '-1246265594#0' found.
Warning: No connection between edge '1180597073#17' and edge '397649390#4' found.
Warning: No connection between edge '136161770#2' and edge '-251784279#1' found.
Warning: No connection between edge '-617351094#5' and edge '-11838452#4' found.
Warning: No connection between edge '774597879#0' and edge '704089866#6' found.
Warning: No connection between edge '599146728' and edge '1240127122#6' found.
Warning: No connection between edge '1276334499#7' and edge '704089866#8' found.
Warning: No connection between edge '591354553#2' and edge '1180597073#7' found.
Warning: No connection between edge '702927012#1' and edge '-11838452#1' found.
Warning: No connection between edge '1204846893#1' and edge '-251784279#2' found.
Warning: No connection between edge '890197307' and edge '848915394#3' found.
Warning: No connection between edge '838425493#9' and edge '704089866#1' found.
Warning: No connection between edge '179993959#9' and edge '838425496#3' found.
Warning: No connection between edge '740599803#3' and edge '546999873#1' found.
Warning: No connection between edge '-251784279#0' and edge '37862483#1' found.
Warning: No connection between edge '-711399550' and edge '-546999873#2' found.
Warning: No connection between edge '707450925#1' and edge '838425496#4' found.
Warning: No connection between edge '-537687400' and edge '251784279#1' found.
Warning: No connection between edge '179993959#3' and edge '-708891237#1' found.
Warning: No connection between edge '1317516879#0' and edge '954341842#0' found.
Warning: No connection between edge '11838452#3' and edge '705792495' found.
Warning: No connection between edge '595338113#0' and edge '703109534#0' found.
Warning: No connection between edge '710203072#4' and edge '875229038#0' found.
Warning: No connection between edge '1204912790#0' and edge '704089866#4' found.
Warning: No connection between edge '-707066366#4' and edge '596710689#0' found.
Warning: No connection between edge '-1215943717#1' and edge '596710689#0' found.
Warning: No connection between edge '-593642481#2' and edge '704089866#8' found.
Warning: No connection between edge '945322256#5' and edge '1242183588#0' found.
Warning: No connection between edge '179993959#8' and edge '207272547#2' found.
Warning: No connection between edge '-37891457#1' and edge '600083145#2' found.
Warning: No connection between edge '-198407217#3' and edge '946030657' found.
Warning: No connection between edge '-675484248#3' and edge '946030657' found.
